Id,LotFrontage,LotArea,YearBuilt,YearRemodAdd,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,YrSold,SalePrice
1,65,8450,2003,2003,856,856,854,1710,1,0,2,1,3,1,8,0,2,548,Y,0,61,2008,208500
2,80,9600,1976,1976,1262,1262,0,1262,0,1,2,0,3,1,6,1,2,460,Y,298,0,2007,181500
3,68,11250,2001,2002,920,920,866,1786,1,0,2,1,3,1,6,1,2,608,Y,0,42,2008,223500
4,60,9550,1915,1970,756,961,756,1717,1,0,1,0,3,1,7,1,3,642,Y,0,35,2006,140000
5,84,14260,2000,2000,1145,1145,1053,2198,1,0,2,1,4,1,9,1,3,836,Y,192,84,2008,250000
6,85,14115,1993,1995,796,796,566,1362,1,0,1,1,1,1,5,0,2,480,Y,40,30,2009,143000
7,75,10084,2004,2005,1686,1694,0,1694,1,0,2,0,3,1,7,1,2,636,Y,255,57,2007,307000
8,NA,10382,1973,1973,1107,1107,983,2090,1,0,2,1,3,1,7,2,2,484,Y,235,204,2009,200000
9,51,6120,1931,1950,952,1022,752,1774,0,0,2,0,2,2,8,2,2,468,Y,90,0,2008,129900
10,50,7420,1939,1950,991,1077,0,1077,1,0,1,0,2,2,5,2,1,205,Y,0,4,2008,118000
11,70,11200,1965,1965,1040,1040,0,1040,1,0,1,0,3,1,5,0,1,384,Y,0,0,2008,129500
12,85,11924,2005,2006,1175,1182,1142,2324,1,0,3,0,4,1,11,2,3,736,Y,147,21,2006,345000
13,NA,12968,1962,1962,912,912,0,912,1,0,1,0,2,1,4,0,1,352,Y,140,0,2008,144000
14,91,10652,2006,2007,1494,1494,0,1494,0,0,2,0,3,1,7,1,3,840,Y,160,33,2007,279500
15,NA,10920,1960,1960,1253,1253,0,1253,1,0,1,1,2,1,5,1,1,352,Y,0,213,2008,157000
16,51,6120,1929,2001,832,854,0,854,0,0,1,0,2,1,5,0,2,576,Y,48,112,2007,132000
17,NA,11241,1970,1970,1004,1004,0,1004,1,0,1,0,2,1,5,1,2,480,Y,0,0,2010,149000
18,72,10791,1967,1967,0,1296,0,1296,0,0,2,0,2,2,6,0,2,516,Y,0,0,2006,90000
19,66,13695,2004,2004,1114,1114,0,1114,1,0,1,1,3,1,6,0,2,576,Y,0,102,2008,159000
20,70,7560,1958,1965,1029,1339,0,1339,0,0,1,0,3,1,6,0,1,294,Y,0,0,2009,139000
21,101,14215,2005,2006,1158,1158,1218,2376,0,0,3,1,4,1,9,1,3,853,Y,240,154,2006,325300
22,57,7449,1930,1950,637,1108,0,1108,0,0,1,0,3,1,6,1,1,280,N,0,0,2007,139400
23,75,9742,2002,2002,1777,1795,0,1795,0,0,2,0,3,1,7,1,2,534,Y,171,159,2008,230000
24,44,4224,1976,1976,1040,1060,0,1060,1,0,1,0,3,1,6,1,2,572,Y,100,110,2007,129900
25,NA,8246,1968,2001,1060,1060,0,1060,1,0,1,0,3,1,6,1,1,270,Y,406,90,2010,154000
26,110,14230,2007,2007,1566,1600,0,1600,0,0,2,0,3,1,7,1,3,890,Y,0,56,2009,256300
27,60,7200,1951,2000,900,900,0,900,0,1,1,0,3,1,5,0,2,576,Y,222,32,2010,134800
28,98,11478,2007,2008,1704,1704,0,1704,1,0,2,0,3,1,7,1,3,772,Y,0,50,2010,306000
29,47,16321,1957,1997,1484,1600,0,1600,1,0,1,0,2,1,6,2,1,319,Y,288,258,2006,207500
30,60,6324,1927,1950,520,520,0,520,0,0,1,0,1,1,4,0,1,240,Y,49,0,2008,68500
31,50,8500,1920,1950,649,649,668,1317,0,0,1,0,3,1,6,0,1,250,N,0,54,2008,40000
32,NA,8544,1966,2006,1228,1228,0,1228,0,0,1,1,3,1,6,0,1,271,Y,0,65,2008,149350
